"_id","name","RecyclingS","type","latitude","longitude"
1,"Abbey Lane","In courtyard at No.12","Packaging","55.95682762208","-3.1664690090466"
2,"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex","Packaging","55.956370951785","-3.1691460675447"
3,"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex","Paper Bank","55.956370951785","-3.1691460675447"
4,"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex","Packaging","55.956370951785","-3.1691460675447"
5,"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex","Bottle Bank - Mixed","55.956370951785","-3.1691460675447"
6,"Abbeyhill Crescent","No. 55 Abbeyhill Crescent","Packaging","55.953394869019","-3.1750140837521"
7,"Abbeyhill Crescent","No. 55 Abbeyhill Crescent","Paper Bank","55.953394869019","-3.1750140837521"
8,"Abbeyhill Crescent","No. 17 Abbeyhill Crescent","Paper Bank","55.953955316902","-3.1746627042903"
9,"Abbeyhill Crescent","No. 17 Abbeyhill Crescent","Packaging","55.953955316902","-3.1746627042903"
10,"Abbotsford Court","abbotsford court","Packaging","55.932018369169","-3.217584819418"
11,"Abbotsford Court","abbotsford court","Paper Bank","55.932018369169","-3.217584819418"
12,"Abbotsford Court","abbotsford court","Bottle Bank - Mixed","55.932018369169","-3.217584819418"
13,"Academy Park","Leith Academy - No. 20 Academy Park","Packaging","55.966640134447","-3.1673730686397"
14,"Academy Park","No. 4 Academy Park","Packaging","55.968098118433","-3.1680738600162"
15,"Academy Park","No. 4 Academy Park","Paper Bank","55.968098118433","-3.1680738600162"
16,"Academy Park","Opposite No.6 Academy Park","Paper Bank","55.967584093088","-3.1673213912605"
17,"Academy Park","Opposite No.6 Academy Park","Packaging","55.967584093088","-3.1673213912605"
18,"Academy Park","Opposite No.6 Academy Park","Bottle Bank - Mixed","55.967584093088","-3.1673213912605"
19,"Academy Park","Leith Academy - No. 20 Academy Park","Packaging","55.966640134447","-3.1673730686397"
20,"Academy Park","Leith Academy - No. 20 Academy Park","Packaging","55.966640134447","-3.1673730686397"
21,"Academy Park","Leith Academy - No. 20 Academy Park","Paper Bank","55.966640134447","-3.1673730686397"
22,"Academy Street","No. 3 Academy Street","Paper Bank","55.967928323579","-3.1670273512178"
23,"Academy Street","No. 4 Academy Street","Packaging","55.967861348023","-3.167457912127"
24,"Academy Street","No. 4 Academy Street","Packaging","55.967861348023","-3.167457912127"
25,"Admiral Terrace","Boroughmuir High School - No. 26 Viewforth","Paper Bank","55.938029557288","-3.2084721017489"
26,"Admiralty Street","No. 6 Admiralty Street","Paper Bank","55.976360173982","-3.178931400131"
27,"Admiralty Street","No. 6 Admiralty Street","Paper Bank","55.976360173982","-3.178931400131"
28,"Admiralty Street","No. 6 Admiralty Street","Packaging","55.976360173982","-3.178931400131"
29,"Admiralty Street","No. 6 Admiralty Street","Packaging","55.976360173982","-3.178931400131"
30,"Alan Breck Gardens","No. 7 Alan Breck Gardens","Packaging","55.952561272731","-3.2880882215346"
31,"Alan Breck Gardens","No. 7 Alan Breck Gardens","Paper Bank","55.952561272731","-3.2880882215346"
32,"Albert Street","RHS No. 69 Albert Street","Paper Bank","55.962470620217","-3.1740236239785"
33,"Albert Street","Opposite 154 - 158 Albert Street","Packaging","55.962400601001","-3.1728841444541"
34,"Albert Street","RHS No. 69 Albert Street","Packaging","55.962470620217","-3.1740236239785"
35,"Albert Street","No. 13 Albert Street","Packaging","55.962536430206","-3.1774857649795"
36,"Albert Street","RHS No. 69 Albert Street","Packaging","55.962470620217","-3.1740236239785"
37,"Albert Street","RHS No 96 Albert Street","Paper Bank","55.962564548543","-3.1745390831916"
38,"Albert Street","Opposite 154 - 158 Albert Street","Packaging","55.962400601001","-3.1728841444541"
39,"Albert Street","Opposite 154 - 158 Albert Street","Paper Bank","55.962400601001","-3.1728841444541"
40,"Albert Street","No. 13 Albert Street","Packaging","55.962536430206","-3.1774857649795"
41,"Albert Street","No. 13 Albert Street","Paper Bank","55.962536430206","-3.1774857649795"
42,"Albert Street","LHS No. 52 Albert Street","Paper Bank","55.962622782672","-3.1769116949442"
43,"Albion Gardens","No. 6 Albion Gardens","Bottle Bank - Mixed","55.960152454107","-3.1654958159009"
44,"Albion Gardens","No. 6 Albion Gardens","Paper Bank","55.960152454107","-3.1654958159009"
45,"Albion Gardens","No. 6 Albion Gardens","Paper Bank","55.960152454107","-3.1654958159009"
46,"Albion Gardens","No. 6 Albion Gardens","Packaging","55.960152454107","-3.1654958159009"
47,"Albion Gardens","No. 6 Albion Gardens","Packaging","55.960152454107","-3.1654958159009"
48,"Albion Gardens","No. 6 Albion Gardens","Packaging","55.960152454107","-3.1654958159009"
49,"Albion Gardens","No. 6 Albion Gardens","Packaging","55.960152454107","-3.1654958159009"
50,"Albion Gardens","No. 6 Albion Gardens","Packaging","55.960152454107","-3.1654958159009"
51,"Albion Gardens","No. 6 Albion Gardens","Paper Bank","55.960152454107","-3.1654958159009"
52,"Albion Gardens","No. 6 Albion Gardens","Bottle Bank - Mixed","55.960152454107","-3.1654958159009"
53,"Albion Gardens","No. 6 Albion Gardens","Textile Bank","55.960152454107","-3.1654958159009"
54,"Albion Gardens","No. 6 Albion Gardens","Packaging","55.960152454107","-3.1654958159009"
55,"Albion Road","LHS No 31 Albion Road","Packaging","55.96191231532","-3.1694253011421"
56,"Albion Road","Opposite No. 48 Albion Road - Community Centre","Paper Bank","55.961526610002","-3.16745937699"
57,"Albion Road","Opposite No. 48 Albion Road - Community Centre","Packaging","55.961526610002","-3.16745937699"
58,"Albion Road","Outside No 30 Albion Road","Paper Bank","55.961876363034","-3.1684791006016"
59,"Albion Road","LHS No 31 Albion Road","Paper Bank","55.96191231532","-3.1694253011421"
60,"Albion Road","Outside No 30 Albion Road","Packaging","55.961876363034","-3.1684791006016"
61,"Albion Terrace","Outside No 2 Albion Terrace","Paper Bank","55.961095280698","-3.1674624074512"
62,"Aldermoor Avenue","Block 1","Packaging","55.911085718656","-3.2226559032734"
63,"Aldermoor Avenue","Block 6","Packaging","55.9113726906","-3.2227129307229"
64,"Aldermoor Avenue","Block 7","Packaging","55.911376659694","-3.2223131005916"
65,"Alexander Drive","LHS No. 2 Alexander Drive","Packaging","55.936312500923","-3.2410919497174"
66,"Alexander Drive","LHS No. 2 Alexander Drive","Paper Bank","55.936312500923","-3.2410919497174"
67,"Alexander Drive","6-8 Alexander Drive","Bottle Bank - Mixed","55.9364300816","-3.241015667251"
68,"Allanfield","No. 19 Allanfield","Bottle Bank - Mixed","55.961039005043","-3.178097049437"
69,"Allanfield","No. 1 Allanfield","Textile Bank","55.961284558012","-3.1749648479285"
70,"Allanfield","No. 1 Allanfield","Packaging","55.961284558012","-3.1749648479285"
71,"Allanfield","No. 1 Allanfield","Paper Bank","55.961284558012","-3.1749648479285"
72,"Allanfield","No. 1 Allanfield","Bottle Bank - Mixed","55.961284558012","-3.1749648479285"
73,"Allanfield","No. 19 Allanfield","Packaging","55.961039005043","-3.178097049437"
74,"Allanfield","No. 19 Allanfield","Textile Bank","55.961039005043","-3.178097049437"
75,"Allanfield","No. 19 Allanfield","Packaging","55.961039005043","-3.178097049437"
76,"Allanfield","No. 19 Allanfield","Paper Bank","55.961039005043","-3.178097049437"
77,"Allanfield Place","Opposite No. 5 Allanfield Place","Paper Bank","55.961267834278","-3.1738910897344"
78,"Allanfield Place","No. 6 Allanfield Place","Paper Bank","55.961316256365","-3.173524125855"
79,"Allanfield Place","No. 6 Allanfield Place","Packaging","55.961316256365","-3.173524125855"
80,"Allanfield Place","No. 3 Allanfield Place","Packaging","55.961109633165","-3.1744629697699"
81,"Allanfield Place","No. 3 Allanfield Place","Paper Bank","55.961109633165","-3.1744629697699"
82,"Allanfield Place","Opposite No. 5 Allanfield Place","Bottle Bank - Mixed","55.961267834278","-3.1738910897344"
83,"Allanfield Place","No. 3 Allanfield Place","Packaging","55.961109633165","-3.1744629697699"
84,"Allanfield Place","No. 3 Allanfield Place","Bottle Bank - Mixed","55.961109633165","-3.1744629697699"
85,"Allanfield Place","No. 3 Allanfield Place","Bottle Bank - Mixed","55.961109633165","-3.1744629697699"
86,"Allanfield Place","No. 3 Allanfield Place","Packaging","55.961109633165","-3.1744629697699"
87,"Allanfield Place","No. 3 Allanfield Place","Packaging","55.961109633165","-3.1744629697699"
88,"Allanfield Place","No. 6 Allanfield Place","Bottle Bank - Mixed","55.961316256365","-3.173524125855"
89,"Allanfield Place","Opposite No. 5 Allanfield Place","Paper Bank","55.961267834278","-3.1738910897344"
90,"Allanfield Place","Opposite No. 5 Allanfield Place","Packaging","55.961267834278","-3.1738910897344"
91,"Allanfield Place","Opposite No. 5 Allanfield Place","Packaging","55.961267834278","-3.1738910897344"
92,"Allanfield Place","Opposite No. 5 Allanfield Place","Packaging","55.961267834278","-3.1738910897344"
93,"Allanfield Place","No. 3 Allanfield Place","Paper Bank","55.961109633165","-3.1744629697699"
94,"Allanfield Place","No. 3 Allanfield Place","Packaging","55.961109633165","-3.1744629697699"
95,"Allanfield Place","No. 3 Allanfield Place","Paper Bank","55.961109633165","-3.1744629697699"
96,"Allanfield Place","No. 6 Allanfield Place","Packaging","55.961316256365","-3.173524125855"
97,"Annandale Street","Nos. 19-23 Annandale Street","Paper Bank","55.960080554482","-3.1843470616271"
98,"Annandale Street","16 & 18 Annandale Street","Paper Bank","55.960129161451","-3.1839641089244"
99,"Annandale Street","Nos. 19-23 Annandale Street","Bottle Bank - Mixed","55.960080554482","-3.1843470616271"
100,"Annandale Street","Nos. 19-23 Annandale Street","Paper Bank","55.960080554482","-3.1843470616271"